Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Jason MyersSEAJ. MyersSEA,vs DET,17,6,6,3,3,1
Chris BoswellPITC. BoswellPIT,vs CLE,16,2,2,4,4,1
Matt PraterARIM. PraterARI,@ DAL,15,1,1,4,4,1
Mason CrosbyGBM. CrosbyGB,vs MIN,13,4,4,3,3,0
Justin TuckerBALJ. TuckerBAL,vs LA,13,1,1,4,4,0
Brett MaherNOB. MaherNO,vs CAR,12,1,0,4,4,0
Joey SlyeWASJ. SlyeWAS,vs PHI,12,1,1,3,3,1
Daniel CarlsonLVD. CarlsonLV,@ IND,11,2,2,3,3,0
Robbie GouldSFR. GouldSF,vs HOU,11,2,2,3,3,0
Randy BullockTENR. BullockTEN,vs MIA,10,4,4,2,2,0
Dustin HopkinsLACD. HopkinsLAC,vs DEN,10,4,4,2,2,0
Evan McPhersonCINE. McPhersonCIN,vs KC,10,4,4,2,2,0
Brandon McManusDENB. McManusDEN,@ LAC,9,1,1,2,2,1
Cairo SantosCHIC. SantosCHI,vs NYG,9,3,3,2,2,0
Michael BadgleyINDM. BadgleyIND,vs LV,8,2,2,2,2,0
Jake ElliottPHIJ. ElliottPHI,@ WAS,8,2,2,2,2,0
Nick FolkNEN. FolkNE,vs JAX,8,6,5,1,1,0
Eddy PineiroNYJE. PineiroNYJ,vs TB,8,3,3,1,1,1
Ryan SuccopTBR. SuccopTB,@ NYJ,8,2,2,2,2,0
Harrison ButkerKCH. ButkerKC,@ CIN,7,4,4,1,1,0
Younghoe KooATLY. KooATL,@ BUF,7,1,1,2,2,0
Greg JosephMING. JosephMIN,@ GB,6,1,1,1,1,1
Lirim HajrullahuCARL. HajrullahuCAR,@ NO,4,1,1,2,1,0
Matthew WrightJAXM. WrightJAX,@ NE,4,1,1,1,1,0
Tyler BassBUFT. BassBUF,vs ATL,3,3,3,0,0,0
Graham GanoNYGG. GanoNYG,@ CHI,3,0,0,1,1,0
Riley PattersonDETR. PattersonDET,@ SEA,3,3,3,1,0,0
Jason SandersMIAJ. SandersMIA,@ TEN,3,0,0,2,1,0
Matt GayLAM. GayLA,@ BAL,2,2,2,1,0,0
Chase McLaughlinCLEC. McLaughlinCLE,@ PIT,2,2,2,0,0,0
Greg ZuerleinDALG. ZuerleinDAL,vs ARI,2,2,2,1,0,0
Ka'imi FairbairnHOUK. FairbairnHOU,@ SF,1,1,1,1,0,0
