Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
New Orleans SaintsNew Orleans,@ NE,23,2.0,3,0,0,1,1,13,251,49,300
Arizona CardinalsArizona,@ JAX,21,3.0,2,0,2,0,1,19,202,159,361
Cleveland BrownsCleveland,vs CHI,19,9.0,0,0,0,0,0,6,1,46,47
Denver BroncosDenver,vs NYJ,19,5.0,2,0,0,0,0,0,119,43,162
Cincinnati BengalsCincinnati,@ PIT,15,4.0,2,0,0,0,0,10,297,45,342
Dallas CowboysDallas,vs PHI,13,2.0,2,0,0,0,1,21,303,64,367
Philadelphia EaglesPhiladelphia,@ DAL,12,4.0,0,0,1,0,1,41,220,160,380
Los Angeles ChargersLA Chargers,@ KC,11,2.0,2,0,2,0,0,24,251,186,437
Carolina PanthersCarolina,@ HOU,11,4.0,0,0,0,0,0,9,151,42,193
Miami DolphinsMiami,@ LV,11,3.0,1,0,0,0,1,31,357,140,497
Detroit LionsDetroit,vs BAL,10,4.0,1,0,0,0,0,19,271,116,387
New York GiantsNY Giants,vs ATL,9,3.0,0,0,1,0,0,17,227,69,296
Atlanta FalconsAtlanta,@ NYG,8,2.0,0,0,1,0,0,14,246,100,346
Jacksonville JaguarsJacksonville,vs ARI,8,0.0,1,0,0,0,1,31,316,91,407
Indianapolis ColtsIndianapolis,@ TEN,8,1.0,2,0,1,0,0,25,188,180,368
Green Bay PackersGreen Bay,@ SF,8,4.0,1,0,1,0,0,28,231,67,298
Buffalo BillsBuffalo,vs WAS,8,1.0,2,0,1,0,0,21,212,78,290
Minnesota VikingsMinnesota,vs SEA,6,2.0,0,0,0,0,0,17,283,106,389
Chicago BearsChicago,@ CLE,6,5.0,0,0,0,0,0,26,203,215,418
Baltimore RavensBaltimore,@ DET,6,2.0,0,0,0,0,0,17,192,93,285
Tennessee TitansTennessee,vs IND,6,2.0,0,0,0,0,0,16,178,87,265
New York JetsNY Jets,@ DEN,5,2.0,0,0,1,0,0,26,223,120,343
Houston TexansHouston,vs CAR,4,3.0,0,0,0,0,0,24,290,117,407
Las Vegas RaidersLas Vegas,vs MIA,4,2.0,0,1,0,0,0,28,197,133,330
Los Angeles RamsLA Rams,vs TB,4,3.0,0,0,0,0,0,24,411,35,446
New England PatriotsNew England,vs NO,3,3.0,0,0,0,0,0,28,110,142,252
Pittsburgh SteelersPittsburgh,vs CIN,3,0.0,1,0,0,0,0,24,172,96,268
Kansas City ChiefsKansas City,vs LAC,1,1.0,0,0,0,0,0,30,275,77,352
Tampa Bay BuccaneersTampa Bay,@ LA,1,1.0,0,0,0,0,0,34,331,76,407
Seattle SeahawksSeattle,@ MIN,1,1.0,0,0,0,0,0,30,313,140,453
San Francisco 49ersSan Francisco,vs GB,1,1.0,0,0,0,0,0,30,253,100,353
Washington Football TeamWashington,@ BUF,0,0.0,0,0,0,0,0,43,359,122,481
