Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Pittsburgh SteelersPittsburgh,@ CIN,29,7.0,4,0,1,1,1,20,299,133,432
Miami DolphinsMiami,vs NE,21,2.0,1,0,2,0,1,7,193,78,271
Buffalo BillsBuffalo,@ LA,20,7.0,3,0,0,0,0,10,191,52,243
Tampa Bay BuccaneersTampa Bay,@ DAL,16,4.0,1,0,0,0,0,3,173,71,244
Los Angeles ChargersLA Chargers,vs LV,16,6.0,3,0,0,0,0,19,256,64,320
Minnesota VikingsMinnesota,vs GB,15,4.0,1,0,1,0,0,7,227,111,338
Baltimore RavensBaltimore,@ NYJ,14,3.0,1,0,1,0,0,9,297,83,380
Chicago BearsChicago,vs SF,13,2.0,1,0,1,0,0,10,155,176,331
Tennessee TitansTennessee,vs NYG,10,5.0,1,0,1,0,0,21,156,238,394
Los Angeles RamsLA Rams,vs BUF,10,2.0,2,0,2,0,0,31,292,121,413
Seattle SeahawksSeattle,vs DEN,10,2.0,0,0,2,0,0,16,330,103,433
Houston TexansHouston,vs IND,10,2.0,1,0,1,0,0,20,340,177,517
Philadelphia EaglesPhiladelphia,@ DET,9,1.0,1,0,0,0,1,35,205,181,386
Indianapolis ColtsIndianapolis,@ HOU,9,3.0,0,0,1,0,0,20,222,77,299
Denver BroncosDenver,@ SEA,8,2.0,0,0,1,0,0,17,177,76,253
San Francisco 49ersSan Francisco,@ CHI,8,2.0,1,0,0,0,0,19,105,99,204
Dallas CowboysDallas,vs TB,8,2.0,1,0,0,0,0,19,195,152,347
Atlanta FalconsAtlanta,vs NO,7,4.0,0,0,1,0,0,27,234,151,385
New York GiantsNY Giants,@ TEN,7,1.0,0,0,1,0,0,20,266,93,359
New Orleans SaintsNew Orleans,@ ATL,7,0.0,0,0,2,1,0,26,215,201,416
New England PatriotsNew England,@ MIA,7,3.0,0,0,0,0,0,20,242,65,307
Jacksonville JaguarsJacksonville,@ WAS,7,1.0,2,0,1,0,0,28,305,85,390
Cleveland BrownsCleveland,@ CAR,7,4.0,1,0,0,0,0,24,207,54,261
New York JetsNY Jets,vs BAL,5,2.0,1,0,0,0,0,24,211,63,274
Washington CommandersWashington,vs JAX,5,2.0,1,0,0,0,0,22,260,123,383
Kansas City ChiefsKansas City,@ ARI,4,3.0,0,0,0,0,0,21,179,103,282
Green Bay PackersGreen Bay,@ MIN,2,1.0,0,0,0,0,0,23,269,126,395
Cincinnati BengalsCincinnati,vs PIT,2,1.0,0,0,0,0,0,23,192,75,267
Carolina PanthersCarolina,vs CLE,2,1.0,0,0,0,0,0,26,138,217,355
Arizona CardinalsArizona,vs KC,2,0.0,0,0,1,0,0,44,360,128,488
Las Vegas RaidersLas Vegas,@ LAC,1,0.0,0,0,0,0,0,24,279,76,355
Detroit LionsDetroit,vs PHI,1,1.0,0,0,0,0,0,38,239,216,455
