Player,Game,Pts*,Passing_Att,Passing_Cmp,Passing_Yds,Passing_TD,Passing_Int,Passing_2Pt,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_2Pt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_2Pt,Fumble_FL,Fumble_TD
Josh AllenJ. Allen,MIA@BUF,43.00,25,21,320,4,0,0,4,17,1,0,0,0,0,0,0,0
Christian McCaffreyC. McCaffrey,ARI@SF,41.00,0,0,0,0,0,0,20,106,3,0,7,71,1,0,0,0
Justin FieldsJ. Fields,DEN@CHI,36.00,35,28,335,4,1,0,4,25,0,0,0,0,0,0,1,0
Anthony RichardsonA. Richardson,LA@IND,34.00,25,11,200,2,0,2,10,56,1,0,0,0,0,0,1,0
Lamar JacksonL. Jackson,BAL@CLE,32.00,19,15,186,2,0,0,9,27,2,0,0,0,0,0,1,0
David MontgomeryD. Montgomery,DET@GB,32.00,0,0,0,0,0,0,32,121,3,0,2,20,0,0,0,0
Stefon DiggsS. Diggs,MIA@BUF,30.00,0,0,0,0,0,0,0,0,0,0,6,120,3,0,0,0
A.J. BrownA. Brown,WAS@PHI,29.00,0,0,0,0,0,0,0,0,0,0,9,175,2,0,0,0
Nico CollinsN. Collins,PIT@HOU,28.00,0,0,0,0,0,0,0,0,0,0,7,168,2,0,0,0
Baker MayfieldB. Mayfield,TB@NO,28.00,32,25,246,3,1,0,8,31,0,0,0,0,0,0,0,0
Jalen HurtsJ. Hurts,WAS@PHI,27.00,37,25,319,2,0,0,9,34,0,0,0,0,0,0,0,0
Russell WilsonR. Wilson,DEN@CHI,27.00,28,21,223,3,0,0,4,13,0,0,0,0,0,0,0,0
Joshua DobbsJ. Dobbs,ARI@SF,26.00,41,28,265,2,0,0,12,48,0,0,0,0,0,0,0,0
Derrick HenryD. Henry,CIN@TEN,25.00,1,1,2,1,0,0,22,122,1,0,1,11,0,0,0,0
C.J. StroudC. Stroud,PIT@HOU,25.00,30,16,306,2,0,0,4,16,0,0,0,0,0,0,0,0
Justin HerbertJ. Herbert,LV@LAC,24.00,24,13,167,1,1,0,12,27,2,0,0,0,0,0,0,0
Kyren WilliamsK. Williams,LA@IND,24.00,0,0,0,0,0,0,25,103,2,0,3,24,0,0,0,0
De'Von AchaneD. Achane,MIA@BUF,23.00,0,0,0,0,0,0,8,101,2,0,3,19,0,0,0,0
Brock PurdyB. Purdy,ARI@SF,23.00,21,20,283,1,0,0,2,0,1,0,0,0,0,0,0,0
Zach WilsonZ. Wilson,KC@NYJ,23.00,39,28,245,2,0,0,2,14,0,1,0,0,0,0,1,0
Puka NacuaP. Nacua,LA@IND,22.00,0,0,0,0,0,0,0,0,0,0,9,163,1,0,0,0
Sam HowellS. Howell,WAS@PHI,21.00,41,29,290,1,0,0,6,40,0,0,0,0,0,0,0,0
Isiah PachecoI. Pacheco,KC@NYJ,21.00,0,0,0,0,0,0,20,115,1,0,3,43,0,0,0,0
Mark AndrewsM. Andrews,BAL@CLE,20.00,0,0,0,0,0,0,0,0,0,0,5,80,2,0,0,0
Justin JeffersonJ. Jefferson,MIN@CAR,20.00,0,0,0,0,0,0,0,0,0,0,6,85,2,0,0,0
Cole KmetC. Kmet,DEN@CHI,20.00,0,0,0,0,0,0,1,1,0,0,7,85,2,0,0,0
Josh JacobsJ. Jacobs,LV@LAC,19.00,0,0,0,0,0,0,17,58,1,0,8,81,0,0,0,0
Jordan LoveJ. Love,DET@GB,19.00,36,23,246,1,2,1,2,-2,1,0,0,0,0,0,0,0
D.J. MooreD. Moore,DEN@CHI,19.00,0,0,0,0,0,0,0,0,0,0,8,131,1,0,0,0
Michael WilsonM. Wilson,ARI@SF,19.00,0,0,0,0,0,0,0,0,0,0,7,76,2,0,0,0
Trevor LawrenceT. Lawrence,ATL@JAX,18.00,30,23,207,1,0,0,8,42,0,0,0,0,0,0,0,0
Khalil HerbertK. Herbert,DEN@CHI,17.00,0,0,0,0,0,0,18,103,0,0,4,19,1,0,0,0
Matthew StaffordM. Stafford,LA@IND,17.00,40,27,319,1,1,0,2,14,0,0,0,0,0,0,0,0
Jaleel McLaughlinJ. McLaughlin,DEN@CHI,16.00,0,0,0,0,0,0,7,72,0,0,3,32,1,0,0,0
Dak PrescottD. Prescott,NE@DAL,16.00,34,28,261,1,0,0,1,-1,0,0,0,0,0,0,0,0
Patrick MahomesP. Mahomes,KC@NYJ,15.00,30,18,203,1,2,0,7,51,0,0,0,0,0,0,0,0
Tua TagovailoaT. Tagovailoa,MIA@BUF,15.00,35,25,282,1,1,0,2,7,0,0,0,0,0,0,0,0
Brandon AiyukB. Aiyuk,ARI@SF,14.00,0,0,0,0,0,0,0,0,0,0,6,148,0,0,0,0
Terry McLaurinT. McLaurin,WAS@PHI,14.00,0,0,0,0,0,0,0,0,0,0,8,86,0,0,0,1
Ryan TannehillR. Tannehill,CIN@TEN,14.00,25,18,240,1,1,0,6,11,0,0,0,0,0,0,0,0
