Player,Game,Pts*,Passing_Att,Passing_Cmp,Passing_Yds,Passing_TD,Passing_Int,Passing_2Pt,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_2Pt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_2Pt,Fumble_FL,Fumble_TD
Brock PurdyB. Purdy,SF@PHI,36.00,27,19,314,4,0,0,2,9,0,0,0,0,0,0,0,0
Geno SmithG. Smith,SEA@DAL,35.00,41,23,334,3,1,0,2,6,1,0,0,0,0,0,0,0
Dak PrescottD. Prescott,SEA@DAL,33.00,41,29,299,3,0,1,7,23,0,0,0,0,0,0,0,0
D.K. MetcalfD. Metcalf,SEA@DAL,31.00,0,0,0,0,0,0,0,0,0,0,6,134,3,0,0,0
Deebo SamuelD. Samuel,SF@PHI,31.00,0,0,0,0,0,0,3,22,1,0,4,116,2,0,0,0
Jordan LoveJ. Love,KC@GB,29.00,36,25,267,3,0,0,2,10,0,0,0,0,0,0,0,0
Matthew StaffordM. Stafford,CLE@LA,29.00,37,22,279,3,0,0,1,-2,0,0,0,0,0,0,0,0
Jake BrowningJ. Browning,CIN@JAX,28.00,37,32,354,1,0,0,2,22,1,0,1,-7,0,0,0,0
Trevor LawrenceT. Lawrence,CIN@JAX,28.00,29,22,258,2,0,0,5,8,1,0,0,0,0,0,0,0
Tyreek HillT. Hill,MIA@WAS,27.00,0,0,0,0,0,0,2,-4,0,0,5,157,2,0,0,0
Nico CollinsN. Collins,DEN@HOU,25.00,0,0,0,0,0,0,0,0,0,0,9,191,1,0,0,0
Jalen HurtsJ. Hurts,SF@PHI,25.00,45,26,298,1,0,0,7,20,1,0,0,0,0,0,0,0
Derrick HenryD. Henry,IND@TEN,23.00,0,0,0,0,0,0,21,102,2,0,1,18,0,0,0,0
Gardner MinshewG. Minshew,IND@TEN,23.00,42,26,312,2,0,0,3,2,0,0,0,0,0,0,1,0
Tua TagovailoaT. Tagovailoa,MIA@WAS,23.00,24,18,280,2,0,0,0,0,0,0,0,0,0,0,0,0
De'Von AchaneD. Achane,MIA@WAS,22.00,0,0,0,0,0,0,17,73,2,0,3,30,0,0,0,0
James ConnerJ. Conner,ARI@PIT,22.00,0,0,0,0,0,0,25,105,2,0,0,0,0,0,0,0
Mike EvansM. Evans,CAR@TB,22.00,0,0,0,0,0,0,0,0,0,0,7,162,1,0,0,0
Chuba HubbardC. Hubbard,CAR@TB,22.00,0,0,0,0,0,0,25,104,2,0,0,0,0,0,0,0
Alvin KamaraA. Kamara,DET@NO,22.00,0,0,0,0,0,0,14,51,2,0,6,58,0,0,0,0
Joe MixonJ. Mixon,CIN@JAX,22.00,0,0,0,0,0,0,19,68,2,0,6,49,0,0,0,0
Ja'Marr ChaseJ. Chase,CIN@JAX,20.00,1,1,-7,0,0,0,0,0,0,0,11,149,1,0,0,0
Joe FlaccoJ. Flacco,CLE@LA,20.00,44,23,254,2,1,0,0,0,0,0,0,0,0,0,0,0
Jared GoffJ. Goff,DET@NO,20.00,25,16,213,2,0,0,2,-2,0,0,0,0,0,0,0,0
CeeDee LambC. Lamb,SEA@DAL,20.00,0,0,0,0,0,0,2,30,0,0,12,116,1,0,0,0
Sam LaPortaS. LaPorta,DET@NO,20.00,0,0,0,0,0,0,0,0,0,0,9,140,1,0,0,0
Christian WatsonC. Watson,KC@GB,20.00,0,0,0,0,0,0,2,15,0,0,7,71,2,0,0,0
Sam HowellS. Howell,MIA@WAS,19.00,23,12,127,0,1,1,4,21,2,0,0,0,0,0,0,0
Christian McCaffreyC. McCaffrey,SF@PHI,19.00,0,0,0,0,0,0,17,93,1,0,3,40,0,0,0,0
Puka NacuaP. Nacua,CLE@LA,19.00,0,0,0,0,0,0,2,34,0,0,4,105,1,0,0,0
Isiah PachecoI. Pacheco,KC@GB,18.00,0,0,0,0,0,0,18,110,1,0,3,13,0,0,0,0
C.J. StroudC. Stroud,DEN@HOU,17.00,27,16,274,1,0,0,6,11,0,0,0,0,0,0,0,0
