Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Jason SandersMIAJ. SandersMIA,@ SF,21,4,4,5,5,1
Graham GanoNYGG. GanoNYG,@ DAL,20,2,2,4,4,3
Wil LutzNOW. LutzNO,vs LAC,14,3,3,3,3,1
Ryan SuccopTBR. SuccopTB,@ CHI,13,1,1,4,4,0
Greg ZuerleinDALG. ZuerleinDAL,vs NYG,13,4,4,3,3,0
Ka'imi FairbairnHOUK. FairbairnHOU,vs JAX,12,3,3,3,3,0
Younghoe KooATLY. KooATL,vs CAR,12,1,1,3,3,1
Cody ParkeyCLEC. ParkeyCLE,vs IND,12,3,3,3,3,0
Rodrigo BlankenshipINDR. BlankenshipIND,@ CLE,11,2,2,3,3,0
Joey SlyeCARJ. SlyeCAR,@ ATL,11,2,2,3,3,0
Dan BaileyMIND. BaileyMIN,@ SEA,10,2,2,2,2,1
Daniel CarlsonLVD. CarlsonLV,@ KC,10,5,4,2,2,0
Justin TuckerBALJ. TuckerBAL,vs CIN,9,3,3,3,2,0
Chris BoswellPITC. BoswellPIT,vs PHI,8,5,5,1,1,0
Cairo SantosCHIC. SantosCHI,vs TB,8,2,2,2,2,0
Harrison ButkerKCH. ButkerKC,vs LV,6,3,3,1,1,0
Zane GonzalezARIZ. GonzalezARI,@ NYJ,6,3,3,1,1,0
Stephen GostkowskiTENS. GostkowskiTEN,vs BUF,6,6,6,0,0,0
Samuel SlomanTENS. SlomanTEN,@ WAS,6,4,3,1,1,0
Robbie GouldSFR. GouldSF,vs MIA,5,2,2,1,1,0
Tyler BassBUFT. BassBUF,@ TEN,4,1,1,1,1,0
Sam FickenNYJS. FickenNYJ,vs ARI,4,1,1,1,1,0
Dustin HopkinsWASD. HopkinsWAS,vs LA,4,1,1,1,1,0
Michael BadgleyLACM. BadgleyLAC,@ NO,3,4,3,1,0,0
Randy BullockCINR. BullockCIN,@ BAL,3,0,0,1,1,0
Jake ElliottPHIJ. ElliottPHI,@ PIT,3,3,3,1,0,0
Jason MyersSEAJ. MyersSEA,vs MIN,3,3,3,0,0,0
Stephen HauschkaJAXS. HauschkaJAX,@ HOU,2,2,2,2,0,0
