Player,Game,Pts*,Passing_Att,Passing_Cmp,Passing_Yds,Passing_TD,Passing_Int,Passing_2Pt,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_2Pt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_2Pt,Fumble_FL,Fumble_TD
Patrick MahomesP. Mahomes,KC@PHI,41.00,30,24,278,5,1,0,5,26,0,0,0,0,0,0,0,0
Tyreek HillT. Hill,KC@PHI,36.00,0,0,0,0,0,0,0,0,0,0,11,186,3,0,0,0
Matt RyanM. Ryan,WAS@ATL,36.00,42,25,283,4,0,0,1,17,0,0,0,0,0,0,0,0
Sam DarnoldS. Darnold,CAR@DAL,35.00,39,26,301,2,2,0,6,35,2,0,0,0,0,0,0,0
Dak PrescottD. Prescott,CAR@DAL,34.00,22,14,188,4,0,0,4,35,0,0,0,0,0,0,0,0
Taylor HeinickeT. Heinicke,WAS@ATL,33.00,33,23,290,3,0,0,5,43,0,0,0,0,0,0,0,0
Jalen HurtsJ. Hurts,KC@PHI,31.00,48,32,387,2,0,0,8,47,0,0,0,0,0,0,0,0
Daniel JonesD. Jones,NYG@NO,30.00,40,28,402,2,1,0,4,27,0,1,0,0,0,0,0,0
Cordarrelle PattersonC. Patterson,WAS@ATL,29.00,0,0,0,0,0,0,6,34,0,0,5,82,3,0,0,0
Aaron RodgersA. Rodgers,PIT@GB,27.00,36,20,248,2,0,0,3,2,1,0,0,0,0,0,0,0
Deebo SamuelD. Samuel,SEA@SF,27.00,0,0,0,0,0,0,1,1,0,0,8,156,2,0,0,0
Justin HerbertJ. Herbert,LV@LAC,26.00,38,25,222,3,0,0,3,4,0,0,0,0,0,0,0,0
Joe BurrowJ. Burrow,JAX@CIN,25.00,32,25,348,2,0,0,3,4,0,0,0,0,0,0,0,0
Austin EkelerA. Ekeler,LV@LAC,25.00,0,0,0,0,0,0,15,117,1,0,3,28,1,0,0,0
Kyler MurrayK. Murray,ARI@LA,25.00,32,24,268,2,0,0,6,39,0,0,0,0,0,0,0,0
Russell WilsonR. Wilson,SEA@SF,25.00,23,16,149,2,0,0,4,26,1,0,0,0,0,0,0,0
Saquon BarkleyS. Barkley,NYG@NO,24.00,0,0,0,0,0,0,13,52,1,0,5,74,1,0,0,0
Trey LanceT. Lance,SEA@SF,24.00,18,9,157,2,0,0,7,41,0,1,0,0,0,0,0,0
Terry McLaurinT. McLaurin,WAS@ATL,24.00,0,0,0,0,0,0,0,0,0,0,6,123,2,0,0,0
