Team,Game,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
New England PatriotsNE,NE@ARI,23.00,6.0,1,0,1,0,1,13,210,113,323
Kansas City ChiefsKC,KC@DEN,16.00,6.0,2,0,0,0,1,28,214,106,320
Buffalo BillsBUF,NYJ@BUF,15.00,4.0,0,0,2,0,0,12,233,76,309
Baltimore RavensBAL,BAL@PIT,14.00,2.0,3,0,0,1,0,14,264,65,329
San Francisco 49ersSF,TB@SF,13.00,0.0,2,0,1,0,0,7,253,69,322
Jacksonville JaguarsJAX,JAX@TEN,13.00,4.0,1,0,3,0,0,22,227,137,364
Cincinnati BengalsCIN,CLE@CIN,11.00,2.0,1,0,0,0,0,10,273,71,344
New York JetsNYJ,NYJ@BUF,11.00,3.0,0,1,0,1,0,20,130,102,232
Philadelphia EaglesPHI,PHI@NYG,10.00,7.0,0,0,1,0,0,22,181,123,304
Las Vegas RaidersLV,LV@LA,10.00,4.0,0,0,1,0,0,17,211,71,282
Detroit LionsDET,MIN@DET,9.00,4.0,0,0,2,0,0,23,394,22,416
Houston TexansHOU,HOU@DAL,8.00,1.0,2,0,1,0,0,27,277,127,404
Denver BroncosDEN,KC@DEN,8.00,2.0,3,0,0,0,0,34,342,89,431
Los Angeles RamsLA,LV@LA,8.00,0.0,2,0,0,0,0,16,137,165,302
Carolina PanthersCAR,CAR@SEA,8.00,3.0,2,0,0,0,0,24,241,46,287
Los Angeles ChargersLAC,MIA@LAC,6.00,2.0,0,0,0,0,0,17,127,92,219
Pittsburgh SteelersPIT,BAL@PIT,6.00,2.0,0,0,0,0,0,16,94,215,309
New York GiantsNYG,PHI@NYG,6.00,4.0,0,0,0,1,0,48,184,253,437
Miami DolphinsMIA,MIA@LAC,5.00,4.0,0,0,0,0,0,23,350,82,432
Dallas CowboysDAL,HOU@DAL,5.00,0.0,1,0,1,0,0,23,213,114,327
Cleveland BrownsCLE,CLE@CIN,5.00,2.0,1,0,0,0,0,23,227,136,363
Arizona CardinalsARI,NE@ARI,4.00,1.0,1,0,0,0,0,27,225,103,328
Seattle SeahawksSEA,CAR@SEA,2.00,2.0,0,0,0,0,0,30,105,223,328
Tampa Bay BuccaneersTB,TB@SF,2.00,0.0,0,0,1,0,0,35,195,209,404
Tennessee TitansTEN,JAX@TEN,0.00,0.0,0,0,0,0,0,36,368,60,428
Minnesota VikingsMIN,MIN@DET,0.00,0.0,0,0,0,0,0,34,330,134,464
