Player,Game,Pts*,XPA,XPM,FGA,FGM,50+
Nick FolkN. Folk,NE@NYJ,18.00,1,1,5,5,1
Younghoe KooY. Koo,CAR@ATL,13.00,4,4,3,3,0
Jason MyersJ. Myers,NYG@SEA,11.00,3,3,2,2,1
Chase McLaughlinC. McLaughlin,WAS@IND,10.00,1,1,3,3,0
Ryan SuccopR. Succop,BAL@TB,10.00,1,1,3,3,0
Michael BadgleyM. Badgley,MIA@DET,9.00,3,3,2,2,0
Tyler BassT. Bass,GB@BUF,9.00,3,3,2,2,0
Justin TuckerJ. Tucker,BAL@TB,9.00,3,3,3,2,0
Eddy PineiroE. Pineiro,CAR@ATL,8.00,3,2,3,2,0
Matt PraterM. Prater,ARI@MIN,8.00,2,2,2,2,0
Cade YorkC. York,CIN@CLE,8.00,3,3,2,1,1
Graham GanoG. Gano,NYG@SEA,7.00,1,1,2,2,0
Robbie GouldR. Gould,SF@LA,7.00,4,4,1,1,0
Brett MaherB. Maher,CHI@DAL,7.00,7,7,0,0,0
Jason SandersJ. Sanders,MIA@DET,7.00,4,4,1,1,0
Nick ScibaN. Sciba,PIT@PHI,7.00,1,1,2,2,0
Wil LutzW. Lutz,LV@NO,6.00,3,3,2,1,0
Randy BullockR. Bullock,TEN@HOU,5.00,2,2,2,1,0
Mason CrosbyM. Crosby,GB@BUF,5.00,2,2,2,1,0
Jake ElliottJ. Elliott,PIT@PHI,5.00,5,5,0,0,0
Riley PattersonR. Patterson,DEN@JAX,5.00,2,2,1,1,0
Cairo SantosC. Santos,CHI@DAL,5.00,2,2,1,1,0
Joey SlyeJ. Slye,WAS@IND,5.00,2,2,1,1,0
Greg ZuerleinG. Zuerlein,NE@NYJ,5.00,2,2,2,1,0
Ka'imi FairbairnK. Fairbairn,TEN@HOU,4.00,1,1,1,1,0
Greg JosephG. Joseph,ARI@MIN,4.00,5,4,1,0,0
Brandon McManusB. McManus,DEN@JAX,3.00,3,3,0,0,0
Matt GayM. Gay,SF@LA,2.00,2,2,0,0,0
Evan McPhersonE. McPherson,CIN@CLE,1.00,2,1,1,0,0
