Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Dallas CowboysDallas,@ LA,26,5.0,1,0,2,1,1,10,285,38,323
New England PatriotsNew England,vs DET,22,2.0,1,0,1,0,1,0,211,101,312
San Francisco 49ersSan Francisco,@ CAR,18,6.0,1,0,0,0,1,15,244,64,308
Indianapolis ColtsIndianapolis,@ DEN,17,4.0,2,0,0,1,0,9,250,125,375
Denver BroncosDenver,vs IND,17,6.0,2,0,0,0,0,12,200,106,306
Buffalo BillsBuffalo,vs PIT,17,3.0,1,0,1,0,0,3,310,54,364
Houston TexansHouston,@ JAX,14,0.0,2,0,0,0,0,6,286,136,422
New York JetsNY Jets,vs MIA,12,2.0,1,1,1,0,0,17,158,137,295
Tennessee TitansTennessee,@ WAS,9,3.0,1,0,0,0,0,17,342,43,385
Tampa Bay BuccaneersTampa Bay,vs ATL,9,5.0,0,0,0,0,0,15,110,151,261
Baltimore RavensBaltimore,vs CIN,9,3.0,1,0,0,0,0,17,190,101,291
Jacksonville JaguarsJacksonville,vs HOU,8,1.0,0,0,0,0,0,13,132,116,248
Cincinnati BengalsCincinnati,@ BAL,7,1.0,1,0,0,0,0,19,170,155,325
Philadelphia EaglesPhiladelphia,@ ARI,7,1.0,1,0,0,0,0,17,239,124,363
Washington CommandersWashington,vs TEN,6,5.0,0,0,0,0,0,21,136,105,241
Pittsburgh SteelersPittsburgh,@ BUF,6,0.0,1,0,1,1,0,38,432,120,552
Arizona CardinalsArizona,vs PHI,6,2.0,0,0,0,0,0,20,218,139,357
Carolina PanthersCarolina,vs SF,6,2.0,0,0,1,1,0,37,244,153,397
Minnesota VikingsMinnesota,vs CHI,5,2.0,0,0,1,0,0,22,193,78,271
New Orleans SaintsNew Orleans,vs SEA,5,3.0,0,0,1,0,0,32,245,151,396
Seattle SeahawksSeattle,@ NO,5,1.0,1,0,1,0,0,39,203,235,438
Chicago BearsChicago,@ MIN,5,1.0,1,0,0,1,0,29,312,117,429
Los Angeles RamsLA Rams,vs DAL,4,3.0,0,0,0,0,0,22,76,163,239
Green Bay PackersGreen Bay,vs NYG,4,1.0,0,1,0,0,0,27,213,125,338
New York GiantsNY Giants,@ GB,3,2.0,0,0,0,0,0,22,207,94,301
Las Vegas RaidersLas Vegas,@ KC,3,3.0,0,0,0,0,0,30,265,103,368
Miami DolphinsMiami,@ NYJ,2,2.0,0,0,0,0,0,40,187,135,322
Los Angeles ChargersLA Chargers,@ CLE,2,0.0,1,0,0,0,0,28,230,213,443
Kansas City ChiefsKansas City,vs LV,2,2.0,0,0,0,0,0,29,223,155,378
Detroit LionsDetroit,@ NE,2,0.0,1,0,0,0,0,29,188,176,364
Cleveland BrownsCleveland,vs LAC,1,1.0,0,0,0,0,0,30,227,238,465
Atlanta FalconsAtlanta,@ TB,1,0.0,0,0,0,0,0,21,351,69,420
