Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Chicago BearsChicago,vs NYG,24,4.0,2,1,2,0,0,3,-6,161,155
Tennessee TitansTennessee,vs MIA,20,4.0,1,0,1,1,0,3,182,74,256
New Orleans SaintsNew Orleans,vs CAR,18,7.0,1,0,1,0,0,10,90,88,178
Baltimore RavensBaltimore,vs LA,17,1.0,2,0,1,0,1,20,300,73,373
Pittsburgh SteelersPittsburgh,vs CLE,17,9.0,2,0,0,0,0,14,139,93,232
Los Angeles ChargersLA Chargers,vs DEN,16,1.0,0,0,1,0,1,13,236,83,319
New England PatriotsNew England,vs JAX,15,2.0,3,0,0,0,0,10,173,80,253
Los Angeles RamsLA Rams,@ BAL,13,5.0,1,0,1,0,0,19,162,165,327
San Francisco 49ersSan Francisco,vs HOU,12,3.0,1,0,0,0,0,7,136,86,222
Buffalo BillsBuffalo,vs ATL,11,5.0,0,0,1,0,0,15,169,96,265
Green Bay PackersGreen Bay,vs MIN,9,2.0,0,0,0,0,0,10,179,27,206
Philadelphia EaglesPhiladelphia,@ WAS,9,3.0,1,0,0,0,0,16,218,94,312
Atlanta FalconsAtlanta,@ BUF,9,1.0,3,1,0,0,0,29,118,233,351
Indianapolis ColtsIndianapolis,vs LV,7,2.0,2,0,0,0,0,23,241,85,326
Seattle SeahawksSeattle,vs DET,6,0.0,3,0,0,0,0,29,262,95,357
Carolina PanthersCarolina,@ NO,6,2.0,0,0,0,0,0,18,207,73,280
New York GiantsNY Giants,@ CHI,6,2.0,2,0,0,0,0,29,162,87,249
Washington Football TeamWashington,vs PHI,5,1.0,0,0,0,0,0,20,212,118,330
Las Vegas RaidersLas Vegas,@ IND,5,1.0,0,0,0,0,0,20,140,122,262
Cleveland BrownsCleveland,@ PIT,5,2.0,1,0,0,0,0,26,109,190,299
Kansas City ChiefsKansas City,@ CIN,4,4.0,0,0,0,0,0,34,415,60,475
Houston TexansHouston,@ SF,4,1.0,1,0,0,0,0,23,241,175,416
Tampa Bay BuccaneersTampa Bay,@ NYJ,4,1.0,0,0,1,0,0,24,224,150,374
Arizona CardinalsArizona,@ DAL,4,1.0,0,0,1,0,0,22,256,45,301
New York JetsNY Jets,vs TB,3,1.0,1,0,0,0,0,28,405,62,467
Jacksonville JaguarsJacksonville,@ NE,2,0.0,0,0,0,1,0,50,290,181,471
Dallas CowboysDallas,vs ARI,2,1.0,0,0,0,0,0,25,272,127,399
Miami DolphinsMiami,@ TEN,1,1.0,0,0,0,0,0,34,110,198,308
Detroit LionsDetroit,@ SEA,1,1.0,0,0,0,0,0,51,232,265,497
Minnesota VikingsMinnesota,@ GB,0,0.0,0,0,0,0,0,37,307,174,481
Denver BroncosDenver,@ LAC,0,0.0,0,0,0,0,0,34,237,104,341
Cincinnati BengalsCincinnati,vs KC,0,0.0,0,0,0,0,0,31,259,155,414
