Player,Game,Pts*,XPA,XPM,FGA,FGM,50+
Younghoe KooY. Koo,MIN@ATL,18.00,2,2,4,4,2
Chase McLaughlinC. McLaughlin,TB@HOU,15.00,4,4,3,3,1
Justin TuckerJ. Tucker,SEA@BAL,13.00,4,4,3,3,0
Daniel CarlsonD. Carlson,NYG@LV,12.00,3,3,3,3,0
Cameron DickerC. Dicker,LAC@NYJ,11.00,3,3,2,2,1
Matt GayM. Gay,IND@CAR,11.00,3,3,2,2,1
Greg JosephG. Joseph,MIN@ATL,11.00,2,2,3,3,0
Nick FolkN. Folk,TEN@PIT,10.00,1,1,3,3,0
Dustin HopkinsD. Hopkins,ARI@CLE,9.00,3,3,3,2,0
Chris BoswellC. Boswell,TEN@PIT,8.00,2,2,2,2,0
Anders CarlsonA. Carlson,LA@GB,8.00,2,2,3,2,0
Blake GrupeB. Grupe,CHI@NO,8.00,3,3,2,1,1
Joey SlyeJ. Slye,WAS@NE,8.00,2,2,2,2,0
Brandon AubreyB. Aubrey,DAL@PHI,7.00,2,2,1,1,1
Eddy PineiroE. Pineiro,IND@CAR,7.00,1,1,2,2,0
Ka'imi FairbairnK. Fairbairn,TB@HOU,6.00,1,1,1,1,1
Evan McPhersonE. McPherson,BUF@CIN,6.00,3,3,1,1,0
Greg ZuerleinG. Zuerlein,LAC@NYJ,6.00,0,0,2,2,0
Lucas HavrisikL. Havrisik,LA@GB,5.00,0,0,2,1,1
Chad RylandC. Ryland,WAS@NE,5.00,2,2,1,1,0
Cairo SantosC. Santos,CHI@NO,5.00,2,2,2,1,0
Tyler BassT. Bass,BUF@CIN,4.00,1,1,1,1,0
Jake ElliottJ. Elliott,DAL@PHI,4.00,4,4,0,0,0
Harrison ButkerH. Butker,MIA@KC,3.00,3,3,0,0,0
Jason MyersJ. Myers,SEA@BAL,3.00,0,0,1,1,0
Jason SandersJ. Sanders,MIA@KC,2.00,2,2,0,0,0
