Player,Game,Pts*,Passing_Att,Passing_Cmp,Passing_Yds,Passing_TD,Passing_Int,Passing_2Pt,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_2Pt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_2Pt,Fumble_FL,Fumble_TD
Justin FieldsJ. Fields,DET@CHI,42.00,20,12,167,2,1,0,13,147,2,0,0,0,0,0,0,0
Patrick MahomesP. Mahomes,JAX@KC,38.00,35,26,331,4,1,0,7,39,0,0,0,0,0,0,0,0
Tua TagovailoaT. Tagovailoa,CLE@MIA,29.00,32,25,285,3,0,0,1,0,0,0,0,0,0,0,0,0
Christian WatsonC. Watson,DAL@GB,28.00,0,0,0,0,0,0,0,0,0,0,4,107,3,0,0,0
CeeDee LambC. Lamb,DAL@GB,27.00,0,0,0,0,0,0,0,0,0,0,11,150,2,0,0,0
Jalen HurtsJ. Hurts,WAS@PHI,25.00,26,17,175,2,1,0,6,28,1,0,0,0,0,0,0,0
Justin JeffersonJ. Jefferson,MIN@BUF,25.00,0,0,0,0,0,0,0,0,0,0,10,193,1,0,0,0
Aaron RodgersA. Rodgers,DAL@GB,25.00,20,14,224,3,0,0,2,4,0,0,0,0,0,0,1,0
Trevor LawrenceT. Lawrence,JAX@KC,24.00,40,29,259,2,0,0,4,26,0,0,0,0,0,0,0,0
Dak PrescottD. Prescott,DAL@GB,24.00,46,27,265,3,2,0,4,6,0,0,0,0,0,0,0,0
Geno SmithG. Smith,SEA@TB,24.00,33,23,275,2,0,0,4,22,0,0,0,0,0,0,1,0
Matt RyanM. Ryan,IND@LV,23.00,28,21,222,1,0,0,4,38,1,0,0,0,0,0,0,0
Ryan TannehillR. Tannehill,DEN@TEN,23.00,36,19,255,2,0,0,2,12,0,0,0,0,0,0,0,0
Nick WestbrookN. Westbrook,DEN@TEN,23.00,0,0,0,0,0,0,0,0,0,0,5,119,2,0,0,0
Josh AllenJ. Allen,MIN@BUF,22.00,43,29,330,1,2,0,6,84,0,0,0,0,0,0,1,0
Christian KirkC. Kirk,JAX@KC,22.00,0,0,0,0,0,0,0,0,0,0,9,105,2,0,0,0
Saquon BarkleyS. Barkley,HOU@NYG,21.00,0,0,0,0,0,0,35,152,1,0,1,8,0,0,0,0
Derek CarrD. Carr,IND@LV,21.00,38,24,248,2,0,0,0,0,0,0,0,0,0,0,0,0
Daniel JonesD. Jones,HOU@NYG,21.00,17,13,197,2,0,0,5,24,0,0,0,0,0,0,0,0
Marcus MariotaM. Mariota,ATL@CAR,21.00,30,19,186,2,1,0,3,43,0,0,0,0,0,0,0,0
Jonathan TaylorJ. Taylor,IND@LV,21.00,0,0,0,0,0,0,22,147,1,0,2,16,0,0,0,0
Tom BradyT. Brady,SEA@TB,20.00,29,22,258,2,1,0,6,-3,0,0,0,0,0,0,0,0
Aaron JonesA. Jones,DAL@GB,20.00,0,0,0,0,0,0,24,138,1,0,2,18,0,0,0,0
James ConnerJ. Conner,ARI@LA,19.00,0,0,0,0,0,0,21,69,2,0,3,17,0,0,0,0
Dalvin CookD. Cook,MIN@BUF,19.00,0,0,0,0,0,0,14,119,1,0,3,27,0,0,0,0
D'Onta ForemanD. Foreman,ATL@CAR,19.00,0,0,0,0,0,0,31,130,1,0,0,0,0,0,0,0
Cole KmetC. Kmet,DET@CHI,19.00,0,0,0,0,0,0,0,0,0,0,4,74,2,0,0,0
Jeffery WilsonJ. Wilson,CLE@MIA,19.00,0,0,0,0,0,0,17,119,1,0,2,24,0,0,0,0
Davante AdamsD. Adams,IND@LV,18.00,0,0,0,0,0,0,0,0,0,0,9,126,1,0,0,0
Jacoby BrissettJ. Brissett,CLE@MIA,18.00,35,22,212,1,0,0,7,40,0,0,0,0,0,0,0,0
Kenny PickettK. Pickett,NO@PIT,18.00,30,18,199,0,0,0,8,51,1,0,0,0,0,0,0,0
Tony PollardT. Pollard,DAL@GB,18.00,0,0,0,0,0,0,22,115,1,0,3,13,0,0,0,0
Kirk CousinsK. Cousins,MIN@BUF,17.00,50,30,357,1,2,0,6,12,0,0,0,0,0,0,0,0
Jared GoffJ. Goff,DET@CHI,16.00,26,19,236,1,0,0,4,14,0,0,0,0,0,0,0,0
Davis MillsD. Mills,HOU@NYG,16.00,37,22,319,1,1,0,0,0,0,0,0,0,0,0,0,0
Gabriel DavisG. Davis,MIN@BUF,15.00,0,0,0,0,0,0,0,0,0,0,6,93,1,0,0,0
Jimmy GaroppoloJ. Garoppolo,LAC@SF,15.00,28,19,240,0,0,0,5,3,1,0,0,0,0,0,0,0
Josh JacobsJ. Jacobs,IND@LV,15.00,0,0,0,0,0,0,21,78,1,0,6,28,0,0,0,0
Colt McCoyC. McCoy,ARI@LA,15.00,37,26,238,1,0,0,4,4,0,0,0,0,0,0,0,0
Devin SingletaryD. Singletary,MIN@BUF,15.00,0,0,0,0,0,0,13,47,2,0,1,0,0,0,1,0
Darius SlaytonD. Slayton,HOU@NYG,15.00,0,0,0,0,0,0,0,0,0,0,3,95,1,0,0,0
Russell WilsonR. Wilson,DEN@TEN,15.00,42,21,286,1,1,0,7,8,0,0,0,0,0,0,0,0
Travis KelceT. Kelce,JAX@KC,14.00,0,0,0,0,0,0,0,0,0,0,6,81,1,0,0,0
Raheem MostertR. Mostert,CLE@MIA,14.00,0,0,0,0,0,0,8,65,1,0,4,22,0,0,0,0
Brian RobinsonB. Robinson,WAS@PHI,14.00,0,0,0,0,0,0,26,86,1,0,0,0,0,0,0,0
Kadarius ToneyK. Toney,JAX@KC,14.00,0,0,0,0,0,0,2,33,0,0,4,57,1,0,0,0
Parris CampbellP. Campbell,IND@LV,13.00,0,0,0,0,0,0,0,0,0,0,7,76,1,0,0,0
Chris GodwinC. Godwin,SEA@TB,13.00,0,0,0,0,0,0,0,0,0,0,6,71,1,0,0,0
Justin HerbertJ. Herbert,LAC@SF,13.00,35,21,196,1,1,0,5,22,0,0,0,0,0,0,0,0
DeAndre CarterD. Carter,LAC@SF,12.00,0,0,0,0,0,0,0,0,0,0,4,64,1,0,0,0
Nick ChubbN. Chubb,CLE@MIA,12.00,0,0,0,0,0,0,11,63,1,0,3,18,0,0,1,0
Stefon DiggsS. Diggs,MIN@BUF,12.00,0,0,0,0,0,0,0,0,0,0,12,128,0,0,0,0
Christian McCaffreyC. McCaffrey,LAC@SF,12.00,0,0,0,0,0,0,14,38,1,0,4,39,0,0,0,0
Terry McLaurinT. McLaurin,WAS@PHI,12.00,0,0,0,0,0,0,0,0,0,0,8,128,0,0,0,0
Trent SherfieldT. Sherfield,CLE@MIA,12.00,0,0,0,0,0,0,0,0,0,0,4,63,1,0,0,0
Marquez Valdes-ScantlingM. Valdes-Scantling,JAX@KC,12.00,0,0,0,0,0,0,0,0,0,0,3,60,1,0,0,0
Jalen VirgilJ. Virgil,DEN@TEN,12.00,0,0,0,0,0,0,0,0,0,0,1,66,1,0,0,0
Antonio GibsonA. Gibson,WAS@PHI,11.00,0,0,0,0,0,0,14,44,1,0,3,14,0,0,0,0
Julio JonesJ. Jones,SEA@TB,11.00,0,0,0,0,0,0,0,0,0,0,3,53,1,0,0,0
George PickensG. Pickens,NO@PIT,11.00,0,0,0,0,0,0,2,23,1,0,3,32,0,0,0,0
Dalton SchultzD. Schultz,DAL@GB,11.00,0,0,0,0,0,0,0,0,0,0,6,54,1,0,0,0
Laviska ShenaultL. Shenault,ATL@CAR,11.00,0,0,0,0,0,0,2,42,1,0,3,17,0,0,0,0
Amon-Ra St. BrownA. St. Brown,DET@CHI,11.00,0,0,0,0,0,0,1,2,0,0,10,119,0,0,0,0
Jamaal WilliamsJ. Williams,DET@CHI,11.00,0,0,0,0,0,0,16,59,1,0,0,0,0,0,0,0
John WolfordJ. Wolford,ARI@LA,11.00,36,24,212,1,1,0,3,3,0,0,0,0,0,0,1,0
Nico CollinsN. Collins,HOU@NYG,10.00,0,0,0,0,0,0,0,0,0,0,5,49,1,0,0,0
Tyreek HillT. Hill,CLE@MIA,10.00,0,0,0,0,0,0,0,0,0,0,5,44,1,0,0,0
Alec IngoldA. Ingold,CLE@MIA,10.00,0,0,0,0,0,0,0,0,0,0,4,45,1,0,0,0
Juwan JohnsonJ. Johnson,NO@PIT,10.00,0,0,0,0,0,0,0,0,0,0,5,44,1,0,0,0
Tyler LockettT. Lockett,SEA@TB,10.00,0,0,0,0,0,0,0,0,0,0,3,42,1,0,0,0
Foster MoreauF. Moreau,IND@LV,10.00,0,0,0,0,0,0,0,0,0,0,3,43,1,0,0,0
Dameon PierceD. Pierce,HOU@NYG,10.00,0,0,0,0,0,0,17,94,0,0,2,28,0,0,1,0
Rachaad WhiteR. White,SEA@TB,10.00,0,0,0,0,0,0,22,105,0,0,0,0,0,0,0,0
Leonard FournetteL. Fournette,SEA@TB,9.00,1,0,0,0,1,0,14,57,1,0,1,1,0,0,0,0
Marquise GoodwinM. Goodwin,SEA@TB,9.00,0,0,0,0,0,0,0,0,0,0,2,38,1,0,0,0
Najee HarrisN. Harris,NO@PIT,9.00,0,0,0,0,0,0,20,99,0,0,0,0,0,0,0,0
Darrell HendersonD. Henderson,ARI@LA,9.00,0,0,0,0,0,0,6,21,1,0,1,11,0,0,0,0
Khadarel HodgeK. Hodge,ATL@CAR,9.00,0,0,0,0,0,0,0,0,0,0,2,37,1,0,0,0
DeAndre HopkinsD. Hopkins,ARI@LA,9.00,0,0,0,0,0,0,0,0,0,0,10,98,0,0,0,0
Drake LondonD. London,ATL@CAR,9.00,0,0,0,0,0,0,0,0,0,0,5,38,1,0,0,0
Rondale MooreR. Moore,ARI@LA,9.00,0,0,0,0,0,0,0,0,0,0,9,94,0,0,0,0
Donovan Peoples-JonesD. Peoples-Jones,CLE@MIA,9.00,0,0,0,0,0,0,0,0,0,0,5,99,0,0,0,0
Andy DaltonA. Dalton,NO@PIT,8.00,27,17,174,1,2,0,3,1,0,0,0,0,0,0,0,0
