Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Tampa Bay BuccaneersTampa Bay,vs CHI,24,4.0,3,0,2,0,0,3,168,143,311
Tennessee TitansTennessee,vs KC,20,4.0,1,0,2,0,0,3,257,77,334
New York GiantsNY Giants,vs CAR,20,6.0,1,1,0,0,0,3,117,56,173
Green Bay PackersGreen Bay,vs WAS,17,4.0,1,0,1,1,0,10,235,195,430
New England PatriotsNew England,vs NYJ,15,2.0,2,0,1,0,0,13,237,62,299
Arizona CardinalsArizona,vs HOU,14,2.0,0,0,1,0,0,5,118,42,160
Indianapolis ColtsIndianapolis,@ SF,14,2.0,2,0,2,0,0,18,169,111,280
New Orleans SaintsNew Orleans,@ SEA,12,5.0,0,0,0,0,0,10,129,90,219
Seattle SeahawksSeattle,vs NO,11,2.0,0,0,1,0,0,13,210,94,304
Los Angeles RamsLA Rams,vs DET,10,2.0,2,0,0,0,0,19,278,137,415
Cincinnati BengalsCincinnati,@ BAL,9,5.0,0,0,0,0,0,17,278,115,393
Washington Football TeamWashington,@ GB,8,3.0,0,0,1,1,0,24,247,57,304
Cleveland BrownsCleveland,vs DEN,8,2.0,1,0,0,0,0,14,182,41,223
Houston TexansHouston,@ ARI,8,4.0,1,1,0,0,0,31,225,172,397
Atlanta FalconsAtlanta,@ MIA,7,1.0,2,0,0,1,0,28,281,132,413
Las Vegas RaidersLas Vegas,vs PHI,7,2.0,0,0,2,0,0,22,223,135,358
Denver BroncosDenver,@ CLE,7,1.0,0,0,0,1,0,17,194,182,376
Miami DolphinsMiami,vs ATL,5,1.0,1,0,1,0,0,30,325,72,397
San Francisco 49ersSan Francisco,vs IND,5,1.0,0,0,2,0,0,30,147,148,295
Kansas City ChiefsKansas City,@ TEN,4,1.0,1,0,0,0,0,27,266,103,369
Carolina PanthersCarolina,@ NYG,3,2.0,0,0,0,0,0,25,199,103,302
Baltimore RavensBaltimore,vs CIN,3,1.0,1,0,0,0,0,41,409,111,520
Philadelphia EaglesPhiladelphia,@ LV,2,0.0,1,0,0,0,0,33,323,119,442
Chicago BearsChicago,@ TB,2,0.0,0,0,1,0,0,38,226,182,408
New York JetsNY Jets,@ NE,1,1.0,0,0,0,0,0,54,403,148,551
Detroit LionsDetroit,@ LA,1,1.0,0,0,0,0,0,28,327,47,374
