Team,Game,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
New Orleans SaintsNO,CAR@NO,24.00,4.0,0,0,2,0,1,6,99,204,303
Minnesota VikingsMIN,MIN@LV,20.00,4.0,1,0,2,0,0,0,146,56,202
Chicago BearsCHI,DET@CHI,17.00,4.0,2,0,1,0,0,13,127,140,267
Denver BroncosDEN,DEN@LAC,17.00,6.0,1,0,1,0,0,7,207,76,283
Las Vegas RaidersLV,MIN@LV,15.00,5.0,0,0,0,0,0,3,99,132,231
New York JetsNYJ,HOU@NYJ,15.00,5.0,0,0,0,0,0,6,54,81,135
Dallas CowboysDAL,PHI@DAL,14.00,1.0,0,0,3,0,0,13,218,106,324
Cleveland BrownsCLE,JAX@CLE,13.00,4.0,3,0,1,0,0,27,235,58,293
Miami DolphinsMIA,TEN@MIA,13.00,1.0,1,0,2,0,1,28,320,83,403
San Francisco 49ersSF,SEA@SF,12.00,4.0,2,0,0,0,0,16,254,70,324
Philadelphia EaglesPHI,PHI@DAL,11.00,3.0,0,0,1,0,1,33,256,138,394
Cincinnati BengalsCIN,IND@CIN,11.00,3.0,1,0,1,0,0,14,226,46,272
Tennessee TitansTEN,TEN@MIA,10.00,5.0,0,0,1,1,0,27,208,158,366
Kansas City ChiefsKC,BUF@KC,9.00,3.0,1,0,0,0,0,20,209,118,327
New York GiantsNYG,GB@NYG,9.00,2.0,1,0,2,0,0,22,203,123,326
Buffalo BillsBUF,BUF@KC,9.00,1.0,1,0,1,0,0,17,264,82,346
Indianapolis ColtsIND,IND@CIN,8.00,0.0,1,0,0,0,1,34,274,111,385
New England PatriotsNE,NE@PIT,8.00,2.0,1,0,0,0,0,18,182,82,264
Baltimore RavensBAL,LA@BAL,8.00,2.0,0,0,0,0,1,31,282,128,410
Tampa Bay BuccaneersTB,TB@ATL,8.00,3.0,1,1,0,0,0,25,338,96,434
Jacksonville JaguarsJAX,JAX@CLE,7.00,1.0,1,0,2,0,0,31,307,82,389
Seattle SeahawksSEA,SEA@SF,7.00,3.0,1,0,1,0,0,28,354,173,527
Houston TexansHOU,HOU@NYJ,6.00,4.0,0,0,1,0,0,30,268,79,347
Los Angeles RamsLA,LA@BAL,6.00,2.0,1,1,0,0,0,37,310,139,449
Green Bay PackersGB,GB@NYG,5.00,0.0,0,0,2,0,0,24,158,209,367
Detroit LionsDET,DET@CHI,5.00,3.0,0,0,0,1,0,28,194,142,336
Pittsburgh SteelersPIT,NE@PIT,5.00,2.0,1,0,0,0,0,21,222,81,303
Los Angeles ChargersLAC,DEN@LAC,5.00,2.0,1,0,0,0,0,24,216,106,322
Carolina PanthersCAR,CAR@NO,3.00,1.0,1,0,0,0,0,28,110,97,207
Atlanta FalconsATL,TB@ATL,1.00,1.0,0,0,0,0,0,29,142,148,290
