Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Austin SeibertWASA. SeibertWAS,vs NYG,21,0,0,7,7,0
Ka'imi FairbairnHOUK. FairbairnHOU,vs CHI,19,1,1,4,4,3
Daniel CarlsonLVD. CarlsonLV,@ BAL,18,2,2,4,4,2
Brandon AubreyDALB. AubreyDAL,vs NO,15,1,1,4,4,1
Evan McPhersonCINE. McPhersonCIN,@ KC,15,2,1,4,4,1
Matt PraterARIM. PraterARI,vs LA,13,5,5,2,2,1
Dustin HopkinsCLED. HopkinsCLE,@ JAX,12,1,1,3,3,1
Jason MyersSEAJ. MyersSEA,@ NE,11,2,2,3,3,0
Will ReichardMINW. ReichardMIN,vs SF,11,2,2,3,3,0
Cairo SantosCHIC. SantosCHI,@ HOU,11,1,1,2,2,2
Justin TuckerBALJ. TuckerBAL,vs LV,11,2,2,4,3,0
Jake BatesDETJ. BatesDET,vs TB,10,1,1,3,3,0
Harrison ButkerKCH. ButkerKC,vs CIN,10,2,2,2,2,1
Younghoe KooATLY. KooATL,@ PHI,10,1,1,3,3,0
Chase McLaughlinTBC. McLaughlinTB,@ DET,10,2,2,2,2,1
Brayden NarvesonTENB. NarvesonTEN,@ GB,10,1,1,4,3,0
Chris BoswellPITC. BoswellPIT,@ DEN,9,1,1,2,2,1
Cameron DickerLACC. DickerLAC,@ CAR,8,3,2,2,2,0
Blake GrupeNOB. GrupeNO,@ DAL,8,6,5,1,1,0
Joey SlyeNEJ. SlyeNE,vs SEA,8,2,2,3,2,0
Tyler BassBUFT. BassBUF,@ MIA,7,4,4,2,1,0
Jake ElliottPHIJ. ElliottPHI,vs ATL,7,1,1,2,2,0
Cam LittleJAXC. LittleJAX,vs CLE,7,1,1,3,2,0
Wil LutzDENW. LutzDEN,vs PIT,6,0,0,2,2,0
Greg ZuerleinNYJG. ZuerleinNYJ,@ TEN,6,3,3,1,1,0
Nick FolkTENN. FolkTEN,vs NYJ,5,2,2,1,1,0
Jake MoodySFJ. MoodySF,@ MIN,5,2,2,1,1,0
Matt GayINDM. GayIND,@ GB,4,1,1,2,1,0
Joshua KartyLAJ. KartyLA,@ ARI,4,1,1,1,1,0
Jason SandersMIAJ. SandersMIA,vs BUF,4,1,1,1,1,0
Eddy PineiroCARE. PineiroCAR,vs LAC,3,0,0,1,1,0
