Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Chris BoswellPITC. BoswellPIT,vs BAL,24,0,0,6,6,3
Jake BatesDETJ. BatesDET,vs JAX,12,7,7,1,1,1
Cameron DickerLACC. DickerLAC,vs CIN,12,4,4,2,2,1
Matt GayINDM. GayIND,@ NYJ,12,1,1,3,3,1
Jason MyersSEAJ. MyersSEA,@ SF,12,2,2,2,2,2
Anders CarlsonNYJA. CarlsonNYJ,vs IND,11,3,3,2,2,1
Ka'imi FairbairnHOUK. FairbairnHOU,@ DAL,10,4,4,2,2,0
Jason SandersMIAJ. SandersMIA,vs LV,10,4,4,2,2,0
Joey SlyeNEJ. SlyeNE,vs LA,10,2,1,3,3,0
Evan McPhersonCINE. McPhersonCIN,@ LAC,9,3,3,4,2,0
Cairo SantosCHIC. SantosCHI,vs GB,9,1,1,3,2,1
Jake ElliottPHIJ. ElliottPHI,vs WAS,8,3,2,4,2,0
Younghoe KooATLY. KooATL,@ DEN,8,0,0,2,2,1
Cam LittleJAXC. LittleJAX,@ DET,8,0,0,2,2,1
Wil LutzDENW. LutzDEN,vs ATL,8,5,5,1,1,0
Daniel CarlsonLVD. CarlsonLV,@ MIA,7,1,1,2,2,0
Nick FolkTENN. FolkTEN,vs MIN,7,1,1,2,2,0
Brandon AubreyDALB. AubreyDAL,vs HOU,6,1,1,2,1,1
Tyler BassBUFT. BassBUF,vs KC,6,4,3,1,1,0
Justin TuckerBALJ. TuckerBAL,@ PIT,6,1,1,3,1,1
Blake GrupeNOB. GrupeNO,vs CLE,5,5,5,0,0,0
Jake MoodySFJ. MoodySF,vs SEA,5,2,2,1,1,0
John Parker RomoNEJ. RomoNE,@ TEN,5,3,2,1,1,0
Zane GonzalezWASZ. GonzalezWAS,@ PHI,4,1,1,1,1,0
Joshua KartyLAJ. KartyLA,@ NE,4,4,4,1,0,0
Spencer ShraderKCS. ShraderKC,@ BUF,3,3,3,0,0,0
Brandon McManusGBB. McManusGB,@ CHI,2,2,2,0,0,0
Dustin HopkinsCLED. HopkinsCLE,@ NO,0,0,0,2,0,0
