Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Nick FolkNEN. FolkNE,vs NYJ,14,7,6,2,2,1
Graham GanoNYGG. GanoNYG,vs CAR,13,2,2,3,3,1
Evan McPhersonCINE. McPhersonCIN,@ BAL,13,5,5,2,2,1
Austin SeibertDETA. SeibertDET,@ LA,13,1,1,4,4,0
Younghoe KooATLY. KooATL,@ MIA,12,3,3,3,3,0
Randy BullockTENR. BullockTEN,vs KC,11,3,3,2,2,1
Daniel CarlsonLVD. CarlsonLV,vs PHI,9,4,3,2,2,0
Matt GayLAM. GayLA,vs DET,8,2,2,2,2,0
Joey SlyeWASJ. SlyeWAS,@ SF,8,1,0,2,2,1
Ryan SuccopTBR. SuccopTB,vs CHI,8,5,5,2,1,0
Brian JohnsonWASB. JohnsonWAS,@ SEA,7,1,1,2,2,0
Chase McLaughlinCLEC. McLaughlinCLE,vs DEN,7,2,2,2,1,1
Matt PraterARIM. PraterARI,vs HOU,7,4,4,1,1,0
Michael BadgleyINDM. BadgleyIND,@ SF,6,3,3,1,1,0
Mason CrosbyGBM. CrosbyGB,vs WAS,6,3,3,2,1,0
Jason MyersSEAJ. MyersSEA,vs NO,6,1,1,3,1,1
Ka'imi FairbairnHOUK. FairbairnHOU,@ ARI,5,0,0,1,1,1
Justin TuckerBALJ. TuckerBAL,vs CIN,5,2,2,1,1,0
Chris BlewittCLEC. BlewittCLE,@ GB,4,1,1,2,1,0
Jason SandersMIAJ. SandersMIA,vs ATL,4,4,4,1,0,0
Harrison ButkerKCH. ButkerKC,@ TEN,3,0,0,2,1,0
Zane GonzalezCARZ. GonzalezCAR,@ NYG,3,0,0,1,1,0
Cairo SantosCHIC. SantosCHI,@ TB,3,0,0,1,1,0
Jake ElliottPHIJ. ElliottPHI,@ LV,2,2,2,0,0,0
Brandon McManusDENB. McManusDEN,@ CLE,2,2,2,0,0,0
Matt AmmendolaNYJM. AmmendolaNYJ,@ NE,1,1,1,1,0,0
