Team,Game,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Los Angeles ChargersLAC,LAC@NYJ,30.00,8.0,0,0,3,0,1,6,206,64,270
Indianapolis ColtsIND,IND@CAR,29.00,4.0,3,0,0,0,2,13,137,138,275
Cleveland BrownsCLE,ARI@CLE,23.00,7.0,2,0,1,0,0,0,17,41,58
Las Vegas RaidersLV,NYG@LV,22.00,8.0,2,0,0,0,0,6,154,123,277
Baltimore RavensBAL,SEA@BAL,18.00,4.0,1,0,1,0,0,3,123,28,151
New Orleans SaintsNO,CHI@NO,16.00,2.0,3,0,2,0,0,17,212,156,368
Green Bay PackersGB,LA@GB,15.00,1.0,1,0,1,0,0,3,119,68,187
Kansas City ChiefsKC,MIA@KC,15.00,3.0,0,0,1,0,1,14,175,117,292
Los Angeles RamsLA,LA@GB,12.00,4.0,0,0,2,0,0,20,207,184,391
New England PatriotsNE,WAS@NE,11.00,3.0,1,0,1,0,0,20,308,124,432
Atlanta FalconsATL,MIN@ATL,10.00,4.0,0,1,2,0,0,31,217,146,363
Pittsburgh SteelersPIT,TEN@PIT,10.00,4.0,1,0,0,0,0,16,235,105,340
Cincinnati BengalsCIN,BUF@CIN,9.00,1.0,1,0,1,0,0,18,249,68,317
Philadelphia EaglesPHI,DAL@PHI,8.00,5.0,0,0,1,0,0,23,333,73,406
Washington CommandersWAS,WAS@NE,6.00,0.0,1,0,0,0,0,17,220,107,327
New York JetsNYJ,LAC@NYJ,6.00,5.0,0,0,0,0,0,27,107,84,191
Minnesota VikingsMIN,MIN@ATL,5.00,1.0,1,0,1,0,0,28,260,110,370
Miami DolphinsMIA,MIA@KC,5.00,2.0,0,0,1,0,0,21,174,93,267
Seattle SeahawksSEA,SEA@BAL,5.00,1.0,0,0,2,0,0,37,217,298,515
Tampa Bay BuccaneersTB,TB@HOU,5.00,3.0,0,0,1,0,0,39,443,53,496
Houston TexansHOU,TB@HOU,4.00,2.0,0,0,1,0,0,37,251,81,332
Carolina PanthersCAR,IND@CAR,4.00,1.0,0,0,1,0,0,27,120,78,198
Tennessee TitansTEN,TEN@PIT,4.00,0.0,0,0,0,0,0,20,160,166,326
Dallas CowboysDAL,DAL@PHI,3.00,3.0,0,0,0,0,0,28,183,109,292
Buffalo BillsBUF,BUF@CIN,2.00,1.0,0,0,0,0,0,24,343,54,397
Arizona CardinalsARI,ARI@CLE,2.00,1.0,0,0,0,0,0,27,213,113,326
Chicago BearsCHI,CHI@NO,1.00,0.0,0,0,0,0,0,24,214,87,301
New York GiantsNYG,NYG@LV,0.00,0.0,0,0,0,0,0,30,209,125,334
