Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Sam FickenNYJS. FickenNYJ,vs DEN,18,1,1,5,5,1
Brandon McManusDENB. McManusDEN,@ NYJ,17,4,4,3,3,2
Randy BullockCINR. BullockCIN,vs JAX,15,3,3,4,4,0
Aldrick RosasJAXA. RosasJAX,@ CIN,15,1,1,5,4,1
Jason SandersMIAJ. SandersMIA,vs SEA,15,0,0,5,5,0
Rodrigo BlankenshipINDR. BlankenshipIND,@ CHI,13,1,1,4,4,0
Daniel CarlsonLVD. CarlsonLV,vs BUF,13,2,2,3,3,1
Ka'imi FairbairnHOUK. FairbairnHOU,vs MIN,13,2,2,3,3,1
Cody ParkeyCLEC. ParkeyCLE,@ DAL,11,5,5,2,2,0
Michael BadgleyLACM. BadgleyLAC,@ TB,9,4,4,2,1,1
Graham GanoNYGG. GanoNYG,@ LA,9,0,0,3,3,0
Jason MyersSEAJ. MyersSEA,@ MIA,9,4,4,1,1,1
Harrison ButkerKCH. ButkerKC,vs NE,8,3,2,2,2,0
Ryan SuccopTBR. SuccopTB,vs LAC,8,5,5,2,1,0
Dan BaileyMIND. BaileyMIN,@ HOU,7,4,4,2,1,0
Joey SlyeCARJ. SlyeCAR,vs ARI,7,4,4,2,1,0
Justin TuckerBALJ. TuckerBAL,@ WAS,7,4,4,1,1,0
Tyler BassBUFT. BassBUF,@ LV,6,4,3,1,1,0
Mason CrosbyGBM. CrosbyGB,vs ATL,6,4,3,1,1,0
Jake ElliottPHIJ. ElliottPHI,@ SF,5,2,2,1,1,0
Dustin HopkinsWASD. HopkinsWAS,vs BAL,5,2,2,2,1,0
Wil LutzNOW. LutzNO,@ DET,5,5,5,0,0,0
Samuel SlomanTENS. SlomanTEN,@ LA,5,2,2,1,1,0
Nick FolkNEN. FolkNE,@ KC,4,1,1,1,1,0
Elliott FryATLE. FryATL,@ GB,4,2,1,1,1,0
Zane GonzalezARIZ. GonzalezARI,@ CAR,3,3,3,0,0,0
Matt PraterDETM. PraterDET,vs NO,3,3,3,0,0,0
Cairo SantosCHIC. SantosCHI,vs IND,3,0,0,1,1,0
Robbie GouldSFR. GouldSF,vs PHI,2,2,2,0,0,0
Greg ZuerleinDALG. ZuerleinDAL,vs CLE,2,2,2,0,0,0
