Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Nick FolkNEN. FolkNE,vs DET,17,2,2,5,5,0
Chase McLaughlinINDC. McLaughlinIND,@ DEN,16,0,0,4,4,2
Daniel CarlsonLVD. CarlsonLV,@ KC,15,2,2,3,3,2
Justin TuckerBALJ. TuckerBAL,vs CIN,15,1,1,4,4,1
Cairo SantosCHIC. SantosCHI,@ MIN,14,1,1,3,3,2
Taylor BertoletLACT. BertoletLAC,@ CLE,12,3,3,3,3,0
Ka'imi FairbairnHOUK. FairbairnHOU,@ JAX,11,1,1,2,2,2
Brett MaherDALB. MaherDAL,@ LA,10,1,1,3,3,0
Jason MyersSEAJ. MyersSEA,@ NO,10,3,2,2,2,1
Graham GanoNYGG. GanoNYG,@ GB,9,3,3,2,2,0
Wil LutzNOW. LutzNO,vs SEA,9,4,4,1,1,1
Brandon McManusDENB. McManusDEN,vs IND,9,0,0,4,3,0
Eddy PineiroCARE. PineiroCAR,vs SF,9,0,0,4,3,0
Tyler BassBUFT. BassBUF,vs PIT,8,5,5,2,1,0
Mason CrosbyGBM. CrosbyGB,vs NYG,8,2,2,2,2,0
Cameron DickerLACC. DickerLAC,@ ARI,8,2,2,2,2,0
Matthew WrightKCM. WrightKC,vs LV,8,3,3,2,1,1
Greg ZuerleinNYJG. ZuerleinNYJ,vs MIA,8,5,5,1,1,0
Joey SlyeWASJ. SlyeWAS,vs TEN,7,2,2,1,1,1
Ryan SuccopTBR. SuccopTB,vs ATL,7,1,1,2,2,0
Robbie GouldSFR. GouldSF,@ CAR,6,3,3,2,1,0
Riley PattersonJAXR. PattersonJAX,vs HOU,6,0,0,2,2,0
Matt AmmendolaGBM. AmmendolaGB,@ ARI,5,2,2,2,1,0
Evan McPhersonCINE. McPhersonCIN,@ BAL,5,2,2,1,1,0
Jason SandersMIAJ. SandersMIA,@ NYJ,5,2,2,2,1,0
Matt GayLAM. GayLA,vs DAL,4,1,1,2,1,0
Cade YorkCLEC. YorkCLE,vs LAC,4,4,4,2,0,0
Chris BoswellPITC. BoswellPIT,@ BUF,3,0,0,3,1,0
Randy BullockTENR. BullockTEN,@ WAS,3,3,3,0,0,0
Greg JosephMING. JosephMIN,vs CHI,3,3,3,2,0,0
Younghoe KooATLY. KooATL,@ TB,1,1,1,1,0,0
