Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Jake ElliottPHIJ. ElliottPHI,@ NYJ,15,3,3,4,4,0
Matt GayLAM. GayLA,vs JAX,13,4,4,3,3,0
Harrison ButkerKCH. ButkerKC,vs DEN,12,2,1,3,3,1
Daniel CarlsonLVD. CarlsonLV,vs WAS,11,0,0,3,3,1
Graham GanoNYGG. GanoNYG,@ MIA,11,0,0,4,3,1
Riley PattersonDETR. PattersonDET,vs MIN,11,2,2,3,3,0
Greg ZuerleinDALG. ZuerleinDAL,@ NO,11,3,3,2,2,1
Dustin HopkinsLACD. HopkinsLAC,@ CIN,9,4,3,2,2,0
Greg JosephMING. JosephMIN,@ DET,9,0,0,3,3,0
Matt PraterARIM. PraterARI,@ CHI,9,3,3,2,2,0
Chris BoswellPITC. BoswellPIT,vs BAL,8,1,0,2,2,1
Jason SandersMIAJ. SandersMIA,vs NYG,8,2,2,3,2,0
Michael BadgleyINDM. BadgleyIND,@ HOU,7,4,4,2,1,0
Robbie GouldSFR. GouldSF,@ SEA,7,3,2,1,1,1
Justin TuckerBALJ. TuckerBAL,@ PIT,7,1,1,2,2,0
Nick FolkNEN. FolkNE,@ BUF,6,0,0,2,2,0
Ryan SuccopTBR. SuccopTB,@ ATL,6,4,3,1,1,0
Brian JohnsonWASB. JohnsonWAS,@ LV,5,2,2,1,1,0
Younghoe KooATLY. KooATL,vs TB,5,2,2,1,1,0
Brett MaherNOB. MaherNO,vs DAL,5,2,2,2,1,0
Tyler BassBUFT. BassBUF,vs NE,4,1,1,2,1,0
Evan McPhersonCINE. McPhersonCIN,vs LAC,4,2,1,1,1,0
Jason MyersSEAJ. MyersSEA,vs SF,4,4,4,1,0,0
Brandon McManusDENB. McManusDEN,@ KC,3,0,0,1,1,0
Cairo SantosCHIC. SantosCHI,vs ARI,2,2,2,0,0,0
Matthew WrightJAXM. WrightJAX,@ LA,1,1,1,0,0,0
Alex KessmanCARA. KessmanCAR,@ NYJ,0,2,0,0,0,0
