Player,Game,Pts*,Passing_Att,Passing_Cmp,Passing_Yds,Passing_TD,Passing_Int,Passing_2Pt,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_2Pt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_2Pt,Fumble_FL,Fumble_TD
Josh AllenJ. Allen,WAS@BUF,44.00,43,32,358,4,0,0,4,9,1,0,0,0,0,0,0,0
Justin HerbertJ. Herbert,LAC@KC,38.00,38,26,281,4,0,1,4,16,0,0,0,0,0,0,0,0
Matthew StaffordM. Stafford,TB@LA,37.00,38,27,343,4,0,0,2,-2,0,0,0,0,0,0,0,0
Tom BradyT. Brady,TB@LA,30.00,55,41,432,1,0,0,3,14,1,0,0,0,0,0,0,0
Kirk CousinsK. Cousins,SEA@MIN,30.00,38,30,323,3,0,0,1,2,0,0,0,0,0,0,0,0
Patrick MahomesP. Mahomes,LAC@KC,28.00,44,27,260,3,2,0,4,45,0,0,0,0,0,0,0,0
Dak PrescottD. Prescott,PHI@DAL,26.00,26,21,238,3,0,0,9,6,0,0,0,0,0,0,1,0
Ryan TannehillR. Tannehill,IND@TEN,26.00,27,18,197,3,2,0,5,56,0,0,0,0,0,0,0,0
Mike WilliamsM. Williams,LAC@KC,26.00,0,0,0,0,0,0,0,0,0,0,7,122,2,1,0,0
Derek CarrD. Carr,MIA@LV,25.00,43,26,386,2,1,0,2,-2,0,0,0,0,0,0,0,0
Sam DarnoldS. Darnold,CAR@HOU,25.00,34,23,304,0,0,0,8,11,2,0,0,0,0,0,0,0
Taylor HeinickeT. Heinicke,WAS@BUF,24.00,24,14,212,2,2,0,8,21,1,0,1,-2,0,0,0,0
Jalen HurtsJ. Hurts,PHI@DAL,24.00,39,25,326,2,2,0,9,35,0,0,0,0,0,0,0,0
Ezekiel ElliottE. Elliott,PHI@DAL,23.00,0,0,0,0,0,0,17,95,2,0,3,21,0,0,0,0
Joe BurrowJ. Burrow,CIN@PIT,22.00,18,14,172,3,1,0,5,7,0,0,0,0,0,0,0,0
Aaron RodgersA. Rodgers,GB@SF,22.00,33,23,261,2,0,0,0,0,0,0,1,-4,0,0,0,0
Kareem HuntK. Hunt,CHI@CLE,21.00,0,0,0,0,0,0,10,81,1,0,6,74,0,0,0,0
Cooper KuppC. Kupp,TB@LA,21.00,0,0,0,0,0,0,0,0,0,0,9,96,2,0,0,0
Emmanuel SandersE. Sanders,WAS@BUF,21.00,0,0,0,0,0,0,0,0,0,0,5,94,2,0,0,0
Peyton BarberP. Barber,MIA@LV,20.00,0,0,0,0,0,0,23,111,1,0,3,31,0,0,0,0
Lamar JacksonL. Jackson,BAL@DET,20.00,31,16,287,1,1,0,7,58,0,0,0,0,0,0,0,0
Matt RyanM. Ryan,ATL@NYG,20.00,36,27,243,2,0,0,1,-1,0,0,0,0,0,0,1,0
Dalton SchultzD. Schultz,PHI@DAL,20.00,0,0,0,0,0,0,0,0,0,0,6,80,2,0,0,0
Davante AdamsD. Adams,GB@SF,19.00,0,0,0,0,0,0,0,0,0,0,12,132,1,0,0,0
Jacoby BrissettJ. Brissett,MIA@LV,19.00,49,32,215,0,0,1,7,37,1,0,0,0,0,0,0,0
Jimmy GaroppoloJ. Garoppolo,GB@SF,19.00,40,25,257,2,1,0,1,4,0,0,0,0,0,0,1,0
Ja'Marr ChaseJ. Chase,CIN@PIT,18.00,0,0,0,0,0,0,0,0,0,0,4,65,2,0,0,0
DeSean JacksonD. Jackson,TB@LA,18.00,0,0,0,0,0,0,0,0,0,0,3,120,1,0,0,0
Baker MayfieldB. Mayfield,CHI@CLE,18.00,31,19,246,1,0,0,4,31,0,0,0,0,0,0,0,0
James RobinsonJ. Robinson,ARI@JAX,18.00,0,0,0,0,0,0,15,88,1,0,6,46,0,0,0,0
James ConnerJ. Conner,ARI@JAX,17.00,0,0,0,0,0,0,11,43,2,0,1,10,0,0,0,0
Justin JeffersonJ. Jefferson,SEA@MIN,17.00,0,0,0,0,0,0,0,0,0,0,9,118,1,0,0,0
Kyler MurrayK. Murray,ARI@JAX,17.00,34,28,316,0,1,0,7,19,1,0,0,0,0,0,0,0
Russell WilsonR. Wilson,SEA@MIN,17.00,32,23,298,1,0,0,3,7,0,0,0,0,0,0,0,0
Jameis WinstonJ. Winston,NO@NE,17.00,21,13,128,2,0,0,5,4,0,0,0,0,0,0,0,0
Austin EkelerA. Ekeler,LAC@KC,16.00,0,0,0,0,0,0,11,55,0,0,6,52,1,0,0,0
Antonio GibsonA. Gibson,WAS@BUF,16.00,0,0,0,0,0,0,12,31,0,0,1,73,1,0,0,0
Derrick HenryD. Henry,IND@TEN,16.00,0,0,0,0,0,0,28,113,0,1,3,31,0,0,0,0
Alvin KamaraA. Kamara,NO@NE,16.00,0,0,0,0,0,0,24,89,0,0,3,29,1,0,0,0
Alexander MattisonA. Mattison,SEA@MIN,16.00,0,0,0,0,0,0,26,112,0,0,6,59,0,0,0,0
D.K. MetcalfD. Metcalf,SEA@MIN,16.00,0,0,0,0,0,0,0,0,0,0,6,107,1,0,0,0
D'Andre SwiftD. Swift,BAL@DET,16.00,1,0,0,0,0,0,14,47,1,0,7,60,0,0,0,0
Saquon BarkleyS. Barkley,ATL@NYG,15.00,0,0,0,0,0,0,16,51,1,0,6,43,0,0,0,0
Kendrick BourneK. Bourne,NO@NE,15.00,0,0,0,0,0,0,0,0,0,0,6,96,1,0,0,0
Clyde Edwards-HelaireC. Edwards-Helaire,LAC@KC,15.00,0,0,0,0,0,0,17,100,0,0,2,9,1,0,1,0
Aaron JonesA. Jones,GB@SF,15.00,0,0,0,0,0,0,19,82,1,0,2,14,0,0,0,0
Daniel JonesD. Jones,ATL@NYG,15.00,35,24,266,0,0,0,8,39,0,1,0,0,0,0,0,0
Zack MossZ. Moss,WAS@BUF,15.00,0,0,0,0,0,0,13,60,0,0,3,31,1,0,0,0
Chris CarsonC. Carson,SEA@MIN,14.00,0,0,0,0,0,0,12,80,1,0,2,2,0,0,0,0
Melvin GordonM. Gordon,NYJ@DEN,14.00,0,0,0,0,0,0,18,60,1,0,1,21,0,0,0,0
Najee HarrisN. Harris,CIN@PIT,14.00,0,0,0,0,0,0,14,40,0,0,14,102,0,0,0,0
Ben RoethlisbergerB. Roethlisberger,CIN@PIT,14.00,58,38,318,1,2,0,1,5,0,0,0,0,0,0,0,0
Tyler ConklinT. Conklin,SEA@MIN,13.00,0,0,0,0,0,0,0,0,0,0,7,70,1,0,0,0
Chris GodwinC. Godwin,TB@LA,13.00,0,0,0,0,0,0,1,2,1,0,6,74,0,0,0,0
Nyheim HinesN. Hines,IND@TEN,13.00,0,0,0,0,0,0,6,25,1,0,5,54,0,0,0,0
Hunter RenfrowH. Renfrow,MIA@LV,13.00,0,0,0,0,0,0,0,0,0,0,5,77,1,0,0,0
Mac JonesM. Jones,NO@NE,12.00,51,30,270,1,3,0,6,28,0,0,0,0,0,0,0,0
Davis MillsD. Mills,CAR@HOU,12.00,28,19,168,1,0,0,1,0,0,0,0,0,0,0,0,0
D.J. MooreD. Moore,CAR@HOU,12.00,0,0,0,0,0,0,1,-1,0,0,8,126,0,0,0,0
Jamaal WilliamsJ. Williams,BAL@DET,12.00,0,0,0,0,0,0,12,42,1,0,2,25,0,0,0,0
Keenan AllenK. Allen,LAC@KC,11.00,0,0,0,0,0,0,0,0,0,0,8,50,1,0,0,0
Giovani BernardG. Bernard,TB@LA,11.00,0,0,0,0,0,0,0,0,0,0,9,51,1,0,0,0
Teddy BridgewaterT. Bridgewater,NYJ@DEN,11.00,25,19,235,0,0,0,4,24,0,0,0,0,0,0,0,0
Brandin CooksB. Cooks,CAR@HOU,11.00,0,0,0,0,0,0,1,5,0,0,9,112,0,0,0,0
Zach ErtzZ. Ertz,PHI@DAL,11.00,0,0,0,0,0,0,0,0,0,0,4,53,1,0,0,0
A.J. GreenA. Green,ARI@JAX,11.00,0,0,0,0,0,0,0,0,0,0,5,112,0,0,0,0
Adam ThielenA. Thielen,SEA@MIN,11.00,0,0,0,0,0,0,0,0,0,0,6,50,1,0,0,0
Marquez Valdes-ScantlingM. Valdes-Scantling,GB@SF,11.00,0,0,0,0,0,0,0,0,0,0,3,59,1,0,0,0
Mark AndrewsM. Andrews,BAL@DET,10.00,0,0,0,0,0,0,0,0,0,0,5,109,0,0,0,0
Marquez CallawayM. Callaway,NO@NE,10.00,0,0,0,0,0,0,0,0,0,0,4,41,1,0,0,0
D.J. CharkD. Chark,ARI@JAX,10.00,0,0,0,0,0,0,0,0,0,0,3,49,1,0,0,0
Mike EvansM. Evans,TB@LA,10.00,0,0,0,0,0,0,0,0,0,0,8,106,0,0,0,0
Tyler HigbeeT. Higbee,TB@LA,10.00,0,0,0,0,0,0,0,0,0,0,5,40,1,0,0,0
