Player,Game,Pts*,XPA,XPM,FGA,FGM,50+
Chase McLaughlinC. McLaughlin,IND@MIN,20.00,3,3,5,5,1
Matt PraterM. Prater,ARI@DEN,13.00,0,0,3,3,2
Nick FolkN. Folk,NE@LV,12.00,1,1,3,3,1
Graham GanoG. Gano,NYG@WAS,12.00,2,2,2,2,2
Brett MaherB. Maher,DAL@JAX,12.00,4,4,2,2,1
Eddy PineiroE. Pineiro,PIT@CAR,12.00,1,1,3,3,1
Jason SandersJ. Sanders,MIA@BUF,11.00,2,2,3,3,0
Riley PattersonR. Patterson,DAL@JAX,10.00,4,4,2,2,0
Jason MyersJ. Myers,SF@SEA,9.00,1,1,2,2,1
Michael BadgleyM. Badgley,DET@NYJ,8.00,2,2,3,2,0
Chris BoswellC. Boswell,PIT@CAR,8.00,3,3,1,1,1
Matt GayM. Gay,LA@GB,8.00,1,0,2,2,1
Brandon McManusB. McManus,ARI@DEN,8.00,3,3,2,1,1
Evan McPhersonE. McPherson,CIN@TB,8.00,2,2,2,2,0
Joey SlyeJ. Slye,NYG@WAS,8.00,1,0,2,2,1
Greg JosephG. Joseph,IND@MIN,7.00,4,4,1,1,0
Cade YorkC. York,BAL@CLE,7.00,1,1,4,2,0
Tyler BassT. Bass,MIA@BUF,6.00,3,3,1,1,0
Daniel CarlsonD. Carlson,NE@LV,6.00,3,3,1,1,0
Mason CrosbyM. Crosby,LA@GB,6.00,3,3,1,1,0
Ka'imi FairbairnK. Fairbairn,KC@HOU,6.00,3,3,1,1,0
Cameron DickerC. Dicker,TEN@LAC,5.00,2,2,1,1,0
Jake ElliottJ. Elliott,PHI@CHI,5.00,2,2,2,1,0
Ryan SuccopR. Succop,CIN@TB,5.00,2,2,2,1,0
Justin TuckerJ. Tucker,BAL@CLE,5.00,0,0,3,1,1
Greg ZuerleinG. Zuerlein,DET@NYJ,5.00,2,2,2,1,0
Harrison ButkerH. Butker,KC@HOU,4.00,2,1,2,1,0
Younghoe KooY. Koo,ATL@NO,4.00,1,1,1,1,0
Robbie GouldR. Gould,SF@SEA,3.00,3,3,1,0,0
Wil LutzW. Lutz,ATL@NO,3.00,3,3,0,0,0
Randy BullockR. Bullock,TEN@LAC,2.00,2,2,1,0,0
Cairo SantosC. Santos,PHI@CHI,2.00,3,2,0,0,0
